X, Y, u, Z, Xx, Xy, Xz, Yx, Yy, Yz, Zx, Zy, Zz
54.6924, 5.02756, 55, 0, 0.983241, 0.182308, 0, -0.182308, 0.983241, 0, 0, 0, 1
55.6754, 5.21151, 56, 0, 0.982628, 0.185584, 0, -0.185584, 0.982628, 0, 0, 0, 1
56.6577, 5.39873, 57, 0, 0.982004, 0.188859, 0, -0.188859, 0.982004, 0, 0, 0, 1
57.6394, 5.58922, 58, 0, 0.981369, 0.192131, 0, -0.192131, 0.981369, 0, 0, 0, 1
58.6204, 5.78299, 59, 0, 0.980723, 0.195401, 0, -0.195401, 0.980723, 0, 0, 0, 1
59.6008, 5.98003, 60, 0, 0.980067, 0.198669, 0, -0.198669, 0.980067, 0, 0, 0, 1
60.5805, 6.18033, 61, 0, 0.979399, 0.201935, 0, -0.201935, 0.979399, 0, 0, 0, 1
61.5596, 6.3839, 62, 0, 0.97872, 0.205199, 0, -0.205199, 0.97872, 0, 0, 0, 1
62.538, 6.59073, 63, 0, 0.978031, 0.20846, 0, -0.20846, 0.978031, 0, 0, 0, 1
63.5157, 6.80082, 64, 0, 0.977331, 0.211719, 0, -0.211719, 0.977331, 0, 0, 0, 1
64.4926, 7.01416, 65, 0, 0.976619, 0.214975, 0, -0.214975, 0.976619, 0, 0, 0, 1
65.4689, 7.23077, 66, 0, 0.975897, 0.21823, 0, -0.21823, 0.975897, 0, 0, 0, 1
66.4444, 7.45062, 67, 0, 0.975165, 0.221481, 0, -0.221481, 0.975165, 0, 0, 0, 1
67.4192, 7.67373, 68, 0, 0.974421, 0.224731, 0, -0.224731, 0.974421, 0, 0, 0, 1
68.3933, 7.90008, 69, 0, 0.973666, 0.227977, 0, -0.227977, 0.973666, 0, 0, 0, 1
69.3665, 8.12968, 70, 0, 0.972901, 0.231222, 0, -0.231222, 0.972901, 0, 0, 0, 1
70.3391, 8.36252, 71, 0, 0.972125, 0.234463, 0, -0.234463, 0.972125, 0, 0, 0, 1
71.3108, 8.59861, 72, 0, 0.971338, 0.237703, 0, -0.237703, 0.971338, 0, 0, 0, 1
72.2817, 8.83793, 73, 0, 0.97054, 0.240939, 0, -0.240939, 0.97054, 0, 0, 0, 1
73.2519, 9.08048, 74, 0, 0.969732, 0.244173, 0, -0.244173, 0.969732, 0, 0, 0, 1
74.2212, 9.32627, 75, 0, 0.968912, 0.247404, 0, -0.247404, 0.968912, 0, 0, 0, 1
75.1897, 9.57529, 76, 0, 0.968082, 0.250632, 0, -0.250632, 0.968082, 0, 0, 0, 1
76.1573, 9.82754, 77, 0, 0.967242, 0.253858, 0, -0.253858, 0.967242, 0, 0, 0, 1
77.1242, 10.083, 78, 0, 0.96639, 0.25708, 0, -0.25708, 0.96639, 0, 0, 0, 1
78.0901, 10.3417, 79, 0, 0.965528, 0.2603, 0, -0.2603, 0.965528, 0, 0, 0, 1
79.0552, 10.6036, 80, 0, 0.964655, 0.263517, 0, -0.263517, 0.964655, 0, 0, 0, 1
80.0194, 10.8687, 81, 0, 0.963771, 0.266731, 0, -0.266731, 0.963771, 0, 0, 0, 1
80.9828, 11.1371, 82, 0, 0.962876, 0.269942, 0, -0.269942, 0.962876, 0, 0, 0, 1
81.9452, 11.4086, 83, 0, 0.961971, 0.27315, 0, -0.27315, 0.961971, 0, 0, 0, 1
82.9067, 11.6834, 84, 0, 0.961055, 0.276356, 0, -0.276356, 0.961055, 0, 0, 0, 1
83.8673, 11.9613, 85, 0, 0.960129, 0.279557, 0, -0.279557, 0.960129, 0, 0, 0, 1
84.8269, 12.2425, 86, 0, 0.959192, 0.282756, 0, -0.282756, 0.959192, 0, 0, 0, 1
85.7857, 12.5268, 87, 0, 0.958244, 0.285952, 0, -0.285952, 0.958244, 0, 0, 0, 1
86.7434, 12.8144, 88, 0, 0.957285, 0.289145, 0, -0.289145, 0.957285, 0, 0, 0, 1
87.7002, 13.1051, 89, 0, 0.956316, 0.292334, 0, -0.292334, 0.956316, 0, 0, 0, 1
88.6561, 13.3991, 90, 0, 0.955337, 0.29552, 0, -0.29552, 0.955337, 0, 0, 0, 1
89.6109, 13.6962, 91, 0, 0.954346, 0.298703, 0, -0.298703, 0.954346, 0, 0, 0, 1
90.5648, 13.9965, 92, 0, 0.953345, 0.301882, 0, -0.301882, 0.953345, 0, 0, 0, 1
91.5176, 14.2999, 93, 0, 0.952334, 0.305058, 0, -0.305058, 0.952334, 0, 0, 0, 1
92.4694, 14.6066, 94, 0, 0.951311, 0.308231, 0, -0.308231, 0.951311, 0, 0, 0, 1
93.4202, 14.9164, 95, 0, 0.950279, 0.311401, 0, -0.311401, 0.950279, 0, 0, 0, 1
94.37, 15.2294, 96, 0, 0.949235, 0.314566, 0, -0.314566, 0.949235, 0, 0, 0, 1
95.3187, 15.5455, 97, 0, 0.948182, 0.317729, 0, -0.317729, 0.948182, 0, 0, 0, 1
96.2663, 15.8648, 98, 0, 0.947117, 0.320888, 0, -0.320888, 0.947117, 0, 0, 0, 1
97.2129, 16.1873, 99, 0, 0.946042, 0.324043, 0, -0.324043, 0.946042, 0, 0, 0, 1
98.1584, 16.5129, 100, 0, 0.944957, 0.327195, 0, -0.327195, 0.944957, 0, 0, 0, 1
